Nazev souboru,Velikost,Pixely,Bit/Pixel
test/testtest/CCBG83002.tif,100988960B,33660000px,3.000266191325015
"test/testtest/compressed/1024,1024_10/CCBG83002_1024,1024-10.jp2",43627778B,33660000px,1.2961312537136067
"test/testtest/compressed/1024,1024_1/CCBG83002_1024,1024-1.jp2",43516293B,33660000px,1.2928191622103387
"test/testtest/compressed/1024,1024_4/CCBG83002_1024,1024-4.jp2",43568725B,33660000px,1.2943768568033274
"test/testtest/compressed/1024,1024_3/CCBG83002_1024,1024-3.jp2",43557863B,33660000px,1.2940541592394534
"test/testtest/compressed/1024,1024_8/CCBG83002_1024,1024-8.jp2",43614019B,33660000px,1.2957224896019013
"test/testtest/compressed/1024,1024_5/CCBG83002_1024,1024-5.jp2",43583642B,33660000px,1.2948200237670826
"test/testtest/compressed/1024,1024_9/CCBG83002_1024,1024-9.jp2",43622182B,33660000px,1.2959650029708853
"test/testtest/compressed/1024,1024_6/CCBG83002_1024,1024-6.jp2",43594383B,33660000px,1.2951391265597147
"test/testtest/compressed/1024,1024_2/CCBG83002_1024,1024-2.jp2",43542338B,33660000px,1.2935929292929293
"test/testtest/compressed/1024,1024_7/CCBG83002_1024,1024-7.jp2",43605459B,33660000px,1.295468181818182
