NAZEV SOUBORU                        |           VELIKOST          |           PIXELS          |   byte/ pixel      
datasets/scan_book/compressed/CCBG83009_6.jp2 | 52155637B | 33660000px | 1.54948416518
datasets/scan_book/compressed/CCBG83003_9.jp2 | 45709728B | 33660000px | 1.35798360071
datasets/scan_book/compressed/CCBG83017_5.jp2 | 41791841B | 33660000px | 1.24158767083
datasets/scan_book/compressed/CCBG83003_8.jp2 | 45709743B | 33660000px | 1.35798404635
datasets/scan_book/compressed/CCBG83020_3.jp2 | 37874885B | 33660000px | 1.12521939988
datasets/scan_book/compressed/CCBG83031_7.jp2 | 45691043B | 33660000px | 1.35742849079
datasets/scan_book/compressed/CCBG83035_7.jp2 | 38425885B | 33660000px | 1.14158897802
datasets/scan_book/compressed/CCBG83002_1.jp2 | 57543741B | 33660000px | 1.70955855615
datasets/scan_book/compressed/CCBG83011_5.jp2 | 39255631B | 33660000px | 1.16623978015
datasets/scan_book/compressed/CCBG83222_2.jp2 | 38438609B | 33660000px | 1.14196699346
datasets/scan_book/compressed/CCBG83014_3.jp2 | 47264572B | 33660000px | 1.40417623292
datasets/scan_book/compressed/CCBG83023_2.jp2 | 44416803B | 33660000px | 1.31957228164
datasets/scan_book/compressed/CCBG83042_9.jp2 | 40151489B | 33660000px | 1.192854694
datasets/scan_book/compressed/CCBG83028_4.jp2 | 38004388B | 33660000px | 1.1290667855
datasets/scan_book/compressed/CCBG83009_8.jp2 | 52153517B | 33660000px | 1.54942118241
datasets/scan_book/compressed/CCBG83040_9.jp2 | 49127066B | 33660000px | 1.45950879382
datasets/scan_book/compressed/CCBG83045_5.jp2 | 44062738B | 33660000px | 1.30905341652
datasets/scan_book/compressed/CCBG83065_4.jp2 | 44429552B | 33660000px | 1.31995103981
datasets/scan_book/compressed/CCBG83009_7.jp2 | 52153946B | 33660000px | 1.54943392751
datasets/scan_book/compressed/CCBG83014_9.jp2 | 46917453B | 33660000px | 1.39386372549
datasets/scan_book/compressed/CCBG83025_3.jp2 | 39801296B | 33660000px | 1.18245086156
datasets/scan_book/compressed/CCBG83020_6.jp2 | 37551579B | 33660000px | 1.11561434938
datasets/scan_book/compressed/CCBG83015_6.jp2 | 41145322B | 33660000px | 1.22238033274
datasets/scan_book/compressed/CCBG83223_1.jp2 | 64107974B | 33660000px | 1.90457439097
datasets/scan_book/compressed/CCBG83027_9.jp2 | 51888946B | 33660000px | 1.5415610814
datasets/scan_book/compressed/CCBG83221_7.jp2 | 37435682B | 33660000px | 1.11217118241
datasets/scan_book/compressed/CCBG83031_6.jp2 | 45692925B | 33660000px | 1.35748440285
datasets/scan_book/compressed/CCBG83045_2.jp2 | 45448379B | 33660000px | 1.35021922163
datasets/scan_book/compressed/CCBG83015_5.jp2 | 41157020B | 33660000px | 1.2227278669
datasets/scan_book/compressed/CCBG83044_3.jp2 | 40513839B | 33660000px | 1.20361969697
datasets/scan_book/compressed/CCBG83019_5.jp2 | 46350130B | 33660000px | 1.37700920974
datasets/scan_book/compressed/CCBG83028_7.jp2 | 37964662B | 33660000px | 1.1278865716
datasets/scan_book/compressed/CCBG83037_2.jp2 | 48156357B | 33660000px | 1.4306701426
datasets/scan_book/compressed/CCBG83053_8.jp2 | 45066948B | 33660000px | 1.33888734403
datasets/scan_book/compressed/CCBG83224_9.jp2 | 43773899B | 33660000px | 1.30047234106
datasets/scan_book/compressed/CCBG83020_8.jp2 | 37545858B | 33660000px | 1.11544438503
datasets/scan_book/compressed/CCBG83222_7.jp2 | 37311875B | 33660000px | 1.10849301842
datasets/scan_book/compressed/CCBG83002_2.jp2 | 45382281B | 33660000px | 1.34825552585
datasets/scan_book/compressed/CCBG83029_1.jp2 | 58941017B | 33660000px | 1.75107002377
datasets/scan_book/compressed/CCBG83003_1.jp2 | 56680765B | 33660000px | 1.68392052882
datasets/scan_book/compressed/CCBG83020_4.jp2 | 37615037B | 33660000px | 1.11749961378
datasets/scan_book/compressed/CCBG83089_1.jp2 | 50831546B | 33660000px | 1.51014693999
datasets/scan_book/compressed/CCBG83090_2.jp2 | 42795246B | 33660000px | 1.27139768271
datasets/scan_book/compressed/CCBG83004_8.jp2 | 40898170B | 33660000px | 1.21503773024
datasets/scan_book/compressed/CCBG83033_7.jp2 | 50080125B | 33660000px | 1.48782308378
datasets/scan_book/compressed/CCBG83224_1.jp2 | 54231586B | 33660000px | 1.61115822935
datasets/scan_book/compressed/CCBG83089_5.jp2 | 38820877B | 33660000px | 1.15332373737
datasets/scan_book/compressed/CCBG83065_3.jp2 | 44589397B | 33660000px | 1.32469985146
datasets/scan_book/compressed/CCBG83023_6.jp2 | 43397766B | 33660000px | 1.28929786096
datasets/scan_book/compressed/CCBG83004_4.jp2 | 40925117B | 33660000px | 1.21583829471
datasets/scan_book/compressed/CCBG83009_9.jp2 | 52153501B | 33660000px | 1.54942070707
datasets/scan_book/compressed/CCBG83020_2.jp2 | 39715043B | 33660000px | 1.17988838384
datasets/scan_book/compressed/CCBG83017_9.jp2 | 41778812B | 33660000px | 1.24120059418
datasets/scan_book/compressed/CCBG83037_9.jp2 | 47354835B | 33660000px | 1.40685784314
datasets/scan_book/compressed/CCBG83045_3.jp2 | 44236448B | 33660000px | 1.31421414141
datasets/scan_book/compressed/CCBG83222_1.jp2 | 47050528B | 33660000px | 1.39781723113
datasets/scan_book/compressed/CCBG83040_2.jp2 | 50365704B | 33660000px | 1.49630730838
datasets/scan_book/compressed/CCBG83019_2.jp2 | 47452310B | 33660000px | 1.40975371361
datasets/scan_book/compressed/CCBG83029_4.jp2 | 51260754B | 33660000px | 1.52289821747
datasets/scan_book/compressed/CCBG83073_7.jp2 | 38998242B | 33660000px | 1.15859304813
datasets/scan_book/compressed/CCBG83047_6.jp2 | 48419134B | 33660000px | 1.43847694593
datasets/scan_book/compressed/CCBG83028_1.jp2 | 50208499B | 33660000px | 1.4916369281
datasets/scan_book/compressed/CCBG83027_1.jp2 | 62569002B | 33660000px | 1.85885329768
datasets/scan_book/compressed/CCBG83045_9.jp2 | 44052031B | 33660000px | 1.30873532383
datasets/scan_book/compressed/CCBG83021_3.jp2 | 50170046B | 33660000px | 1.49049453357
datasets/scan_book/compressed/CCBG83020_7.jp2 | 37547436B | 33660000px | 1.1154912656
datasets/scan_book/compressed/CCBG83023_3.jp2 | 43521212B | 33660000px | 1.29296530006
datasets/scan_book/compressed/CCBG83072_4.jp2 | 51113671B | 33660000px | 1.51852855021
datasets/scan_book/compressed/CCBG83065_8.jp2 | 44377808B | 33660000px | 1.31841378491
datasets/scan_book/compressed/CCBG83014_5.jp2 | 46946516B | 33660000px | 1.39472715389
datasets/scan_book/compressed/CCBG83019_7.jp2 | 46340187B | 33660000px | 1.37671381462
datasets/scan_book/compressed/CCBG83065_2.jp2 | 45849567B | 33660000px | 1.36213805704
datasets/scan_book/compressed/CCBG83067_6.jp2 | 45967368B | 33660000px | 1.36563778966
datasets/scan_book/compressed/CCBG83072_5.jp2 | 51083925B | 33660000px | 1.51764483066
datasets/scan_book/compressed/CCBG83055_3.jp2 | 48311447B | 33660000px | 1.43527768865
datasets/scan_book/compressed/CCBG83025_1.jp2 | 51068458B | 33660000px | 1.51718532383
datasets/scan_book/compressed/CCBG83035_9.jp2 | 38425079B | 33660000px | 1.14156503268
datasets/scan_book/compressed/CCBG83055_6.jp2 | 48226174B | 33660000px | 1.43274432561
datasets/scan_book/compressed/CCBG83223_4.jp2 | 53189543B | 33660000px | 1.5802003268
datasets/scan_book/compressed/CCBG83031_2.jp2 | 47057312B | 33660000px | 1.398018776
datasets/scan_book/compressed/CCBG83006_1.jp2 | 55541806B | 33660000px | 1.65008336304
datasets/scan_book/compressed/CCBG83224_2.jp2 | 44942330B | 33660000px | 1.33518508616
datasets/scan_book/compressed/CCBG83053_7.jp2 | 45066927B | 33660000px | 1.33888672014
datasets/scan_book/compressed/CCBG83072_8.jp2 | 51071092B | 33660000px | 1.51726357695
datasets/scan_book/compressed/CCBG83005_4.jp2 | 46923084B | 33660000px | 1.39403101604
datasets/scan_book/compressed/CCBG83089_7.jp2 | 38806902B | 33660000px | 1.15290855615
datasets/scan_book/compressed/CCBG83221_5.jp2 | 37442641B | 33660000px | 1.11237792632
